,text
1373,"FOR SALE(of course)Linear Power model 952 IQ         2 channel automotive stereo amplifier        95 watts peak per channel        2 ohm stable        fidelity tested  $100 You pay shipping1 Pair (two (2)) Mobile Authority woofers        10 inch        2 inch voice coil        20 oz magnet        130 watt peak power handeling        4 ohms   $40 for both, you pay shipping (will not sell seperatly)reply thru e-mail to:Karl R. Schimmel"
1382,"2nd uptade:Here are the standings for the poll after 29 votes: 5 points for 1st, 4 for 2nd,... 1 point for 5th: EA/ NHLPA game1. DET 782. CHI 67 3. VAN 604. NY  595. MTL 546. PIT 237. WAS 208. BOS 179..QUE  9 10.CAL  811.ASW  712.LA   5   TOR  514.ASE  4   WIN  416.BUF  3   PHI  318.SJ   219.MIN  1   OTW  1   Atlanta to win Turner Cup 1 (not in the game, but 1 person vote)Continue to send your votes in this format (until April 20th, approximately)------------------------------------------------1.2.3.4.5.------------------------------------------------"
1383,"  ???????????????????????????????????????????????????????????????????????????  ?     Dear Sirs,                                                          ?  ?                                                                         ?  ?     The  private  agricultural  firm  ""DINA"",  is  breeding  pedigree   ?  ?horses of ""sportmodel""  class,  mainly  trakenensky,  gannoversky  and   ?  ?thoroughbred horses. We have 17 heads of dams, getters of  trakeninsky   ?  ?and thoroughbread breeds, colts of 1-2 years old, sport live-stock  of   ?  ?horses of concour class (for passing the route  with  obstacles).  The   ?  ?firm has a warm stable made of brick, arranged to place 60 horses.       ?  ?     We  have  possibility  to  expand  the  field  of  activity   and   ?  ?systematically prepare our horses of concour class for sale  for  hard   ?  ?currency. The experienced  staff  of  the  firm  (internetional  class   ?  ?master)  workes  for  breeding  and  training  of  horses.  Additional   ?  ?investments are  necessary  to  purchase  of  larger  dam  live-stock,   ?  ?construction of the riding-house for training, extra stables.            ?  ?     For two years our firm has been  organizing  hunting  tourism  of   ?  ?the territory of the national park not far from Moscow (about 100 km).   ?  ?     We are also concerned in the development of  trading connections    ?  ?on delivering food products, clothes, foot-wear etc. to Russia.          ?  ?                                                                         ?  ?                                                Our address:             ?  ?                                                Russia, Obninsk,         ?  ?                                                pr. Marksa, 34-130.      ?  ?                                                phone:(08439)3-49-42,    ?  ?                                                      (08439)3-42-30     ?  ?                                                fax:  (095)255-22-25     ?  ?                                                Electronic Mail:         ?  ?                                                dina@litana.obninsk.su   ?  ?                                                                         ?  ?                                                Vyacheslav Chereshnev.   ?  ???????????????????????????????????????????????????????????????????????????"
1385,"Moscow Scientific Inductrial Association ""Spectrum"" offer       VIDEOSCAN vision system for PC/AT,wich include software and set of       controllers.                     SOFTWARE            For support VIDEOSCAN family program kit was developed. Kit       includes more then 200 different functions for image processing.            Kit works in the interactive regime, and has include Help for       non professional users.            There are next possibility:       - input frame by any board of VIDEOSCAN family;       - read - white image to - from disk;       - print image on the printer;       - makes arithmetic with 2 frames;       - filter image;       - work with gistogramme;       - edit image.       - include users exe modules.                     CONTROLLER VS9       The function of VS-9 controller is to load TV-images into  PC/AT.       VS-9 controller allows one to load a fragment of the TV-frame from       a field of 724x600 pixels.       The clock rate is 14,7 MHz when loading an image with 512 pixel in       the line and 7,4 MHz when loading a 256 pixels image. This       provides the equal pixel size of input image in both horizontal       and vertical directions.       The number of gray levels in any input modes is 256.       Video signal capture time - 2.5s.                     CONTROLLER VS52       The purpose of the controller is to enter the TV images into a IBM       PC AT or any other machine of that type. The controller was       created on the base of modern elements, including user       programmable gate arrays.       The controller allows to digitize a input signal with different       resolutions. Its flexible architecture makes possible to change       technical parameters. Instead of TV signal one can process any       other analog signal (including signals from slow-speed scanning       devices).       The controller has the following technical characteristics:       - memory volume - from 256 K to 2 Mb ;       - resolution when working with standard video signal - from 64x64       to 1024x512 pixels ;       - resolution when working in slow input regime - up to 2048x1024       pixels;       - video signal capture time - 40 ms.       - maximum size of a screen when memory volume is 2Mb - 2048x1024       pixels ;       - number of gray level - 256 ;       - clock rate for input - up to 30 MHz ;       - 4 input video multiplexer ;       - input/output lookup table (LUT);       - possibility to realize ""scroll"" and ""zoom"";       - 8 lines for external synchronization (an input using external       controlling signal) ;       - electronic adjustment of black and white reference for analog -       digital converter;       - possibility output image to the color RGB monitor.       One can change all listed above functions and parameters of the       controller by reprogramming it.              IMAGE PROCESSOR VS100"
1387,email your replies to:
1390,"Ottawa picks first, because they had fewer wins during the season, thefirst tiebreaker.--    Keith Keller				LET'S GO RANGERS!!!!!						LET'S GO QUAKERS!!!!!	kkeller@mail.sas.upenn.edu		IVY LEAGUE CHAMPS!!!!"
1394,"Roland HS-60 (SynthPlus 60)  - 6 voice polyphonic fully programmable analog synthesizer  - 61 full size keys  - MIDI  - Memory to store 128 patches  - built in speakers  - Connectors: MIDI in thru out, Input(2), Expansion Pedal, Head Phones,    Tape Load & Save, Patch Shift, Pedal Hold, Output(2)Asking $225"
1396,For Sale: Intel 96oo Baud Modem External V32/V42bis Very Good Working Condition Never had any problems  $160 oBoLeave daytime number for fastest response.
1400,The following used CD's are for sale.  They are each $8 unless otherwisemarked.  I will pay for the shipping and handling costs.  If you areinterested in any just e-mail me at awakhras@phoenix.princeton.edu.  Atthat point we will figure out the payment and mailing procedure. Artist				TitleRobbie Robertson		StoryvilleLove and Rockets		Love and RocketsJeff Lynne			Armchair TheatreElvis Costello			Mighty Like a RosePublic Image LTD		9Neneh Cherry			Raw Like SushiBobby Brown 			Don't Be CruelDepeche Mode			Black CelebrationTraveling Wilburys              Vol. 1Bad Company			10 from 6Soul II Soul			Vol. II-1990 A New DecadeThe Godfathers			More Songs About Love and HatePaul McCartney			Flowers in the DirtSimply Red			StarsPrince				Graffitti Bridge
1403,"Used pair of golf shoes Size 9 1/2 good shape no holes etc.  $10.00 o.b.o.  plus shipping.    David-- ---------------------------------------------------------------------David B. Snyder                     Logicon Technical Services Inc.dsnyder@falcon.aamrl.wpafb.af.mil   Wright-Patterson Air Force Base513-255-5165                        Dayton, Ohio USA---------------------------------------------------------------------It is said that GOD doesn't subtract from ones' time on earth, thosehours spent flying.---------------------------------------------------------------------1946 Cessna 140 N76234 ""The lady in waiting"" Owner/Operator---------------------------------------------------------------------Opinions expressed are my own and not those of Logicon or the USAF."
1404,"""	For sale: 1956 Elvis Prestly autograph. Autogaph is one of two, theothere being Elvis's friend Red West and were obtained by the seller in thespring of 1956 in Jacksonville , Fla the afternoon following the incidentwhen Elvis collapsed during a concert at the Gaterbowl in Jacksonville.	Request offers.           Ellen T. (408) 978-7716 (San Jose, CA.)"""
1409,"Second week of January (prime ski season at one of the largest Poconos skiareas).  Just north of Allentown.Condo sleeps 6-8 depending on how friendly you all are.  Has hot tub,deck.  Easy access to parking lot and shuttle to slopes (condo is a fewmiles from the slopes).Cost: $6000 OBRO, price based on what we paid for it (used, also) andcurrent market.[RICHR]"
1411,"SOMEONE PLEASE BUY THESE BOOKS!!!!!  I AM NOT ASKING MUCH!!!!!!JUST MAKE ME AN OFFER AND I WILL PROBABLY TAKE IT!!!!!* Calculus w/ Analytic Geometry by Authur B. Simon (copyright date 1982), below avg condition but still readable! * Writing good software in Fortran, Graham Smith. * The Holt Handbook by Kirszner & Mandell (copyright 1986) 720+ page writing guide. * Algebra & Trigonometry, A problem Solving Approach, 3rd edition by W. Flemming and D. Varberg.  Very good condition.* General Chemistry Principles & Modern Applications, R. Petrucci, fourth  edition.  Big Book! Very good condition!* Solutions manual for Chemistry book.  Paperback.* Study guide for Chemistry book.  Paperback.Send me your offers via email at 02106@chopin.udel.edu"
